112,65,84,0,0
111,65,84,0,0
111,65,84,0,0
111,65,84,0,0
112,65,84,0,0
112,65,84,0,0
92,60,84,0,0
92,57,84,0,0
111,65,84,0,0
125,66,89,39,-40
99,38,115,78,-79
85,38,140,79,-81
65,52,165,78,-81
40,74,-169,63,-63
40,73,-169,2,-1
40,73,-169,0,0
65,58,175,-70,64
65,60,168,-9,9
65,59,168,0,0
63,55,168,56,59
50,41,169,85,78
55,28,169,80,82
54,25,170,33,35
54,25,169,1,0
54,25,169,0,0
53,24,164,-39,36
54,19,140,-73,74
89,19,117,-70,71
147,82,98,-59,65
102,54,82,-39,42
102,51,82,0,0
100,49,82,12,11
101,45,81,39,43
126,47,81,41,48
97,45,81,47,41
136,49,81,49,47
98,37,81,63,61
99,34,82,71,69
112,30,82,73,74
123,27,82,76,76
122,40,82,77,75
120,32,82,76,73
117,31,83,77,78
116,32,83,77,77
113,27,83,79,76
117,23,84,78,79
112,18,84,79,80
108,16,84,78,76
111,16,84,11,12
111,16,84,-1,0
105,37,71,-66,61
99,69,46,-87,78
98,120,22,-86,76
117,107,-1,-85,76
129,105,-21,-74,72
160,100,-32,-30,28
157,100,-32,45,37
152,89,-33,77,77
191,97,-28,82,-17
101,108,-6,59,-51
99,103,-6,1,0
97,103,-6,42,38
92,97,-5,76,71
84,87,-6,77,76
83,82,-6,69,68
77,78,-7,65,64
71,74,-6,66,65
64,71,-6,68,68
64,66,-6,76,76
61,63,-5,78,77
56,59,-6,77,75
51,52,-5,77,77
33,47,-5,75,77
26,42,-4,79,75
21,21,-4,59,58
23,21,-4,2,5
30,18,-16,-54,52
36,17,-40,-79,78
154,18,-64,-83,76
131,18,-87,-78,72
97,26,-111,-81,76
96,26,-118,-10,9
95,27,-118,12,17
95,32,-117,50,15
99,23,-103,59,-30
121,19,-87,68,-21
146,16,-83,44,32
148,18,-90,-5,57
127,15,-93,-4,31
99,35,-100,-41,32
94,38,-122,-74,69
92,68,-132,36,55
90,70,-132,70,27
94,38,-112,77,-58
98,28,-97,56,-7
98,26,-97,2,0
96,28,-97,45,48
97,27,-96,77,73
97,47,-95,77,72
98,26,-95,73,68
97,24,-94,74,71
97,23,-93,72,70
99,32,-92,72,68
83,26,-92,71,69
79,25,-91,70,67
75,21,-91,69,67
69,20,-91,70,70
65,51,-90,70,72
62,27,-90,72,69
58,58,-89,74,73
55,58,-88,55,54
71,58,-88,2,1
74,58,-99,-57,58
92,61,-124,-81,78
92,74,-148,-79,78
95,72,-172,-78,78
123,89,165,-76,79
140,92,144,-50,56
140,91,144,18,-19
118,90,164,49,-56
119,95,164,1,0
132,72,164,14,16
114,72,164,60,63
108,84,165,80,73
102,78,165,81,80
97,72,166,83,84
92,66,166,82,81
87,60,166,82,83
82,54,166,84,83
77,49,166,83,83
68,42,166,83,83
61,48,166,83,83
65,30,166,81,80
62,25,167,81,81
60,22,167,64,64
59,23,166,2,3
59,18,166,-4,2
59,17,163,-24,18
58,13,141,-73,72
63,13,118,-74,76
139,63,97,-68,74
101,58,75,-53,56
101,58,76,0,1
100,58,75,0,0
102,58,76,11,6
99,55,75,51,57
100,51,73,57,68
103,47,73,55,59
97,44,72,56,58
100,39,73,65,61
98,36,73,59,58
97,34,73,53,55
98,33,73,58,57
98,40,73,60,60
97,32,73,58,59
103,40,73,57,58
92,46,73,57,56
105,36,73,59,58
100,35,73,55,57
98,34,73,62,62
109,32,73,72,72
107,29,73,72,71
106,28,74,74,73
103,54,74,10,12
102,36,69,-25,20
90,68,51,-70,66
90,117,26,-84,77
97,107,2,-81,77
103,104,-12,-34,33
102,103,-12,14,15
99,99,-13,51,59
94,94,-14,67,69
93,91,-14,63,63
83,88,-14,56,58
82,73,-14,54,55
77,82,-14,56,57
74,65,-14,70,70
69,72,-14,75,76
64,60,-14,72,72
57,53,-15,75,74
52,58,-15,80,78
49,62,-15,78,79
45,32,-15,76,75
40,29,-15,33,31
39,28,-16,-16,14
67,25,-35,-70,69
152,19,-62,-87,79
120,38,-86,-82,74
91,40,-102,-42,38
92,40,-102,0,0
92,40,-102,0,0
93,36,-104,30,42
90,36,-105,58,65
90,38,-106,59,64
89,54,-105,55,47
89,35,-104,52,48
89,34,-103,58,52
90,43,-101,57,47
92,39,-96,59,3
94,30,-93,49,47
94,29,-91,71,58
103,31,-90,72,66
98,31,-89,34,66
90,32,-99,-10,63
89,33,-101,62,58
90,53,-102,54,62
90,78,-101,55,52
83,76,-101,50,49
83,73,-101,54,51
77,71,-100,53,54
71,68,-100,63,61
69,68,-100,10,8
86,68,-104,-27,28
81,63,-122,-61,65
81,79,-147,-83,78
84,67,-171,-78,75
108,84,165,-59,61
108,85,165,-1,1
109,83,165,34,37
103,76,163,63,71
97,71,163,67,69
92,67,163,63,58
89,63,165,58,52
87,60,165,55,51
80,57,167,51,33
74,70,170,44,30
66,73,173,50,21
65,69,177,58,39
68,66,-178,75,56
37,63,-176,77,62
32,59,-174,71,61
28,57,-172,60,51
26,69,-176,-13,55
68,24,162,-70,69
68,21,137,-84,72
106,22,113,-81,73
102,35,89,-80,75
88,62,65,-80,75
88,69,57,-9,10
87,69,57,0,0
89,68,66,41,-42
92,69,81,35,-35
92,69,81,0,0
