110,93,103,0,0
110,92,103,0,0
110,92,103,0,0
111,93,103,4,5
141,98,105,14,11
130,67,106,19,18
121,82,107,18,18
115,101,105,14,16
108,85,103,13,14
103,88,100,10,12
100,91,99,8,9
96,93,97,5,6
94,96,97,4,5
92,86,96,6,6
88,100,96,10,11
159,93,96,13,11
151,100,96,15,16
142,110,95,15,16
66,115,92,14,15
128,118,91,12,13
121,125,90,16,17
106,134,89,16,17
98,140,88,15,16
100,148,97,12,0
97,107,102,8,5
89,104,106,11,10
86,60,108,13,11
79,117,109,14,13
72,130,108,12,13
71,125,107,2,3
70,124,107,1,-1
71,125,108,0,0
70,125,109,0,0
71,72,111,0,-3
74,79,119,2,-4
75,25,160,16,-15
75,12,-149,16,-18
76,12,-145,0,-3
76,12,-145,0,0
76,8,-160,-8,3
76,8,-163,-2,2
73,11,-163,8,7
62,22,-164,20,21
54,31,-164,18,18
45,40,-164,19,18
36,48,-164,17,16
30,55,-163,12,12
26,58,-163,7,6
27,58,-163,0,0
27,58,-162,0,0
27,58,-162,1,-1
27,58,-161,0,0
27,58,-159,0,-1
28,57,-158,0,-1
28,57,-158,0,0
28,57,-158,0,0
30,58,-150,3,-5
41,86,-119,12,-12
90,63,-93,6,-9
90,64,-93,2,0
84,66,-94,5,5
80,71,-91,15,13
82,77,-92,12,13
72,82,-95,10,12
71,87,-96,10,5
75,88,-93,1,-1
77,88,-92,0,-2
76,88,-91,1,0
128,88,-85,4,-1
116,87,-80,2,-1
116,84,-80,2,2
110,84,-78,9,9
121,77,-76,10,8
117,77,-74,10,9
117,80,-73,6,7
114,80,-74,4,3
117,82,-75,1,1
111,81,-75,3,4
109,85,-75,3,3
108,94,-75,3,3
106,88,-76,0,1
107,100,-76,3,2
105,92,-76,3,4
103,94,-77,3,3
101,94,-77,4,4
98,108,-77,7,7
95,98,-76,10,9
94,101,-76,11,10
95,106,-75,10,10
83,75,-75,11,11
78,79,-76,10,10
79,84,-76,11,11
71,156,-81,3,9
70,164,-84,9,11
64,232,-87,11,12
57,105,-88,14,16
49,112,-89,15,15
43,225,-89,13,13
35,233,-89,16,15
27,131,-88,15,14
24,79,-88,7,7
23,79,-88,1,1
23,77,-86,1,-1
25,76,-84,0,-2
25,74,-81,0,-2
27,71,-71,2,-5
71,35,-44,10,-9
88,11,-13,11,-12
86,9,-1,5,-4
87,9,-1,0,0
86,9,9,4,-3
86,9,8,0,0
86,9,8,0,0
84,10,7,3,4
79,16,8,11,11
72,23,9,15,14
65,30,10,15,13
59,37,10,12,12
54,41,10,10,11
50,46,10,8,7
48,49,10,4,5
45,50,11,4,3
44,53,11,5,5
41,55,11,5,6
38,58,11,5,4
36,60,11,5,5
32,63,12,6,6
29,68,12,9,8
26,70,12,5,5
26,70,12,0,0
26,70,14,0,-1
26,70,14,0,0
26,70,14,0,0
26,70,14,0,0
27,57,17,0,-2
30,70,22,2,-3
33,49,44,10,-7
54,60,75,12,-10
133,100,103,10,-8
133,100,107,1,-3
133,100,107,0,0
133,100,107,0,0
133,100,107,0,0
133,100,107,0,0
133,102,107,4,3
129,89,110,9,7
128,89,110,0,1
